Index,Case,Role,Question,Sample
john2,Boeing,John,What do you think about the culture at Boeing in response to the disaster?,"The culture of the organizations has been brought up a lot, but let’s be fair here, the organizations involved are working with high-tech, cutting edge technologies. Having worked at the FAA, I can vouch for the tenacity and valor of all the Boeing staff. I have worked with many people and the culture of the company is based on innovation, as it has been for many years."
john3,Boeing,John,What was the reason the accident happened?,I think the reason the accidents happened were clear. The MCAS system was over correcting for an issue that shouldn't really have been designed. There should clearly be some limitations to what's expected of the pilots that are flying these planes.
john4,Boeing,John,How can we ensure future safety and transparency and rebuild trust?,"We can ensure future safety and transparency in a couple of ways. I think that pilots need to be trained more that we should have had more transparency but I'm worried that there's so much complexity. And then you said that, how much training can be pilot gap and how big will our training manual look like if we keep adding things to it. So I think we have to somehow figure out how to do this better within the complexity there is already there in the system."
mary1,Boeing,Mary,Who do you think is responsible for the Boeing Disaster?,"As the Boeing Representative in this discussion, I don't think there is anyone to blame for the issue. It is a rather unfortunate event and we would rather prioritize the conversation to focus on how we can ensure safe skies for everyone, rather than pointing fingers. My heart goes out to all affected, but we need to think about the future, not the past."
mary2,Boeing,Mary,What do you think about the culture at Boeing in response to the disaster?,"The culture at Boeing has been why myself and many of my colleagues work at the company. We have received numerous awards on how innovative and forward-thinking Boeing is as a company. While there are always some that doubt that a company has the best interest for the public, Boeing has shown time and again that we genuinely do."
mary3,Boeing,Mary,What was the reason the accident happened?,I think the reason the accidents happened were not predictable. I think that people can see that we've been a safe company. It just started we had only one problem with Boeing Max's 737 planes. It's an unfortunate event that happened within the last like two events that happened in the last six months. But I think that people should be able to still maybe trust us if we released a new plane or something like that because we just been… One of the top companies in the aircraft industry
mary4,Boeing,Mary,How can we ensure future safety and transparency and rebuild trust?,"We are constantly thinking about how we can ensure future safety and transparency. I think that we should just a train pilots, a little bit better. I mean, safety is a big problem. But if our pilots would have had the knowledge of how to maybe override the MCAS system. Then this all could have been prevented with one just simple maybe just a little bit more training. I just don't think we have the money right now."
sarah1,Boeing,Sarah,Who do you think is responsible for the Boeing Disaster?,"As the Family Lawyer representing the passengers and their families, it is clear and obvious. Boeing, the FAA, and all the parties involved are to blame for this catastrophe. Ultimately many lost their lives and their families, and friends’ lives have been changed forever. It is important for us to be very introspective on what went wrong, and hold those who overlooked, underestimated, and in general didn’t care enough accountable for their actions."
sarah2,Boeing,Sarah,What do you think about the culture at Boeing in response to the disaster?,"The culture at Boeing seems to be toxic to the life of the company and perhaps centrally connected to the catastrophe. If the engineering folk knew something was wrong, but did not make this known to leadership, then how can they be responsible engineers? If the leadership chose not to do anything, how can they be responsible leaders?"
sarah3,Boeing,Sarah,What was the reason the accident happened?,I think the reason the accidents happened were clear and avoidable. I believe the tests that are being used on the simulations are running that needs to be available to the public and pilot training as well that needs to be able to be seen by potential people that are going to be using these aircrafts and people that are going to be flying on them.
sarah4,Boeing,Sarah,How can we ensure future safety and transparency and rebuild trust?,"We can ensure future safety and transparency by holding those responsible accountable today. There needs to be real repercussions for all the parties involved, and we need to have uncomfortable conversations of how much power organizations have in being able to regulate themselves. We need to ask ourselves, do these large organizations have the interests of people at heart, or is there something else they are aiming for? As the lawyer representing the families, their pain of losing loved ones is immeasurable and for them at least, can we ever truly say that flying will be safe? These are just a few of the conversations we need to be having."
amelie1,Facial Recognition,Amelie,Placeholder Question,Placeholder Sample
amelie2,Facial Recognition,Amelie,Placeholder Question,Placeholder Sample
amelie3,Facial Recognition,Amelie,What do you think is the best approach?,Placeholder Sample
amelie4,Facial Recognition,Amelie,What do you think are the main barriers to this approach?,Placeholder Sample
courtney1,Facial Recognition,Courtney,Placeholder Question,Placeholder Sample
courtney2,Facial Recognition,Courtney,Placeholder Question,Placeholder Sample
courtney3,Facial Recognition,Courtney,What do you think is the best approach?,Placeholder Sample
courtney4,Facial Recognition,Courtney,What do you think are the main barriers to this approach?,Placeholder Sample
gloria1,Facial Recognition,Gloria,Placeholder Question,Placeholder Sample
gloria2,Facial Recognition,Gloria,Placeholder Question,Placeholder Sample
gloria3,Facial Recognition,Gloria,What do you think is the best approach?,Placeholder Sample
gloria4,Facial Recognition,Gloria,What do you think are the main barriers to this approach?,Placeholder Sample
keith1,Facial Recognition,Keith,Placeholder Question,Placeholder Sample
keith2,Facial Recognition,Keith,Placeholder Question,Placeholder Sample
keith3,Facial Recognition,Keith,What do you think is the best approach?,Placeholder Sample
keith4,Facial Recognition,Keith,What do you think are the main barriers to this approach?,Placeholder Sample
steve1,Facial Recognition,Steve,Placeholder Question,Placeholder Sample
steve2,Facial Recognition,Steve,Placeholder Question,Placeholder Sample
steve3,Facial Recognition,Steve,What do you think is the best approach?,Placeholder Sample
steve4,Facial Recognition,Steve,What do you think are the main barriers to this approach?,Placeholder Sample
trevor1,Facial Recognition,Trevor,Placeholder Question,Placeholder Sample
trevor2,Facial Recognition,Trevor,Placeholder Question,Placeholder Sample
trevor3,Facial Recognition,Trevor,What do you think is the best approach?,Placeholder Sample
trevor4,Facial Recognition,Trevor,What do you think are the main barriers to this approach?,Placeholder Sample
